weezing,Poison,,Inhaling toxic fumes from trash and mixing them inside its body lets it spread an even fouler stench.
rhyhorn,Ground,Rock,"Its powerful tackles can destroy anything. However, it is too slow witted to help people work."
rhydon,Ground,Rock,"Standing on its hind legs freed its forelegs and made it smarter. It is very forgetful, however."
chansey,Normal,,A kindly Pokemon that lays highly nutritious eggs and shares them with injured Pokmon or people.
tangela,Grass,,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long."
kangaskhan,Normal,,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
horsea,Water,,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
seadra,Water,,Its spines provide protection. Its fins and bones are prized as traditional-medicine ingredients.
goldeen,Water,,"Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn."
seaking,Water,,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors."
staryu,Water,,"As long as its red core remains, it can regenerate its body instantly, even if its torn apart."
starmie,Water,Psychic,Its core shines in many colors and sends radio signals into space to communicate with something.
mr-mime,Psychic,Fairy,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
scyther,Bug,Flying,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
jynx,Ice,Psychic,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
electabuzz,Electric,,Research is progressing on storing lightning in Electabuzz so this energy can be used at any time.
magmar,Fire,,"The scorching fire exhaled by Magmar forms heat waves around its body, making it hard to see the Pokemon clearly."
pinsir,Bug,,It grips prey with its powerful pincers and will not let go until the prey is torn in half.
tauros,Normal,,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
magikarp,Water,,"A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though."
gyarados,Water,Flying,"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm."
lapras,Water,Ice,"Able to understand human speech and very intelligent, it loves to swim in the sea with people on its back."
ditto,Normal,,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes."
eevee,Normal,,"Thanks to its unstable genetic makeup, this special Pokemon conceals many different possible evolutions."
vaporeon,Water,,"Its cell composition is similar to water molecules. As a result, it cant be seen when it melts away into water."
jolteon,Electric,,"By storing electricity in its body, it can shoot its bristlelike fur like a barrage of missiles."
flareon,Fire,,"Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees F."
porygon,Normal,,A man-made Pokemon created using advanced scientific means. It can move freely in cyberspace.
omanyte,Rock,Water,A Pokemon that was resurrected from a fossil using modern science. It swam in ancient seas.
omastar,Rock,Water,It is thought that this Pokemon became extinct because its spiral shell grew too large.
kabuto,Rock,Water,It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.
kabutops,Rock,Water,It is thought that this Pokemon came onto land because its prey adapted to life on land.
aerodactyl,Rock,Flying,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
snorlax,Normal,,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly."
articuno,Ice,Flying,A legendary bird Pokemon. It can create blizzards by freezing moisture in the air.
zapdos,Electric,Flying,A legendary Pokemon that is said to live in thunderclouds. It freely controls lightning bolts.
moltres,Fire,Flying,One of the legendary bird Pokemon. It is said that its appearance indicates the coming of spring.
dratini,Dragon,,It is called the Mirage Pokemon because so few have seen it. Its shed skin has been found.
dragonair,Dragon,,"If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes."
dragonite,Dragon,Flying,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.
mewtwo,Psychic,,A Pokemon created by recombining Mews genes. Its said to have the most savage heart among Pokmon.
mew,Psychic,,"Mew is said to possess the genetic composition of all Pokemon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people."
chikorita,Grass,,Description not available yet
bayleef,Grass,,Description not available yet
meganium,Grass,,Description not available yet
cyndaquil,Fire,,Description not available yet
quilava,Fire,,Description not available yet
typhlosion,Fire,,Description not available yet
totodile,Water,,Description not available yet
croconaw,Water,,Description not available yet
feraligatr,Water,,Description not available yet
sentret,Normal,,Description not available yet
furret,Normal,,Description not available yet
hoothoot,Normal,Flying,Description not available yet
noctowl,Normal,Flying,Description not available yet
ledyba,Bug,Flying,Description not available yet
ledian,Bug,Flying,Description not available yet
spinarak,Bug,Poison,Description not available yet
ariados,Bug,Poison,Description not available yet
crobat,Poison,Flying,Description not available yet
chinchou,Water,Electric,Description not available yet
lanturn,Water,Electric,Description not available yet
pichu,Electric,,Description not available yet
cleffa,Fairy,,Description not available yet
igglybuff,Normal,Fairy,Description not available yet
togepi,Fairy,,Description not available yet
togetic,Fairy,Flying,Description not available yet
natu,Psychic,Flying,Description not available yet
xatu,Psychic,Flying,Description not available yet
mareep,Electric,,Description not available yet
flaaffy,Electric,,Description not available yet
